Term	TermFreq >= 1	PosClassDiff (correct-estimate)	NegClassDiff	PosClassAvDiff	NegClassAvDiff	CorrectClass1pos	CorrectClass2pos	CorrectClass3pos	CorrectClass4pos	CorrectClass5pos	CorrectClass1neg	CorrectClass2neg	CorrectClass3neg	CorrectClass4neg	CorrectClass5neg	
sentences	1	0	1	0.0	1.0	1	0	0	0	0	0	1	0	0	0	
wrks	1	0	1	0.0	1.0	1	0	0	0	0	0	1	0	0	0	
@wordflyer	1	-1	1	-1.0	1.0	1	0	0	0	0	0	1	0	0	0	
internal	1	-1	1	-1.0	1.0	1	0	0	0	0	0	1	0	0	0	
clock	2	-1	1	-0.5	0.5	2	0	0	0	0	1	1	0	0	0	
@uncreativeboi	1	0	1	0.0	1.0	1	0	0	0	0	0	1	0	0	0	
@garethesque	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
achievement	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
brits	2	-1	0	-0.5	0.0	1	1	0	0	0	2	0	0	0	0	
hookah	2	-2	0	-1.0	0.0	0	2	0	0	0	2	0	0	0	0	
sharise	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
kaydene	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
lizard	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
longue	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
loopt	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
tnv_wq	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
@livinlime	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
tangytuesday	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
greetings	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
@agingbackwards	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@farrukhsiddiqui	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@alphamares	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@thelifehackpost	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@lorimoreno	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@dalewild	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
iloveitwhenjustin	1	0	1	0.0	1.0	0	0	1	0	0	0	1	0	0	0	
notices	2	0	1	0.0	0.5	1	0	1	0	0	1	1	0	0	0	
33	8	2	-3	0.25	-0.375	2	1	4	1	0	6	2	0	0	0	
@erkthajerk	1	-1	0	-1.0	0.0	0	0	1	0	0	1	0	0	0	0	
when's	1	-1	0	-1.0	0.0	0	0	1	0	0	1	0	0	0	0	
5yr	1	-1	0	-1.0	0.0	0	0	1	0	0	1	0	0	0	0	
icarly	1	-1	0	-1.0	0.0	0	0	1	0	0	1	0	0	0	0	
preteen	1	-1	0	-1.0	0.0	0	0	1	0	0	1	0	0	0	0	
scary	4	-2	-5	-0.5	-1.25	1	1	2	0	0	1	1	2	0	0	
@jessgcc	1	1	1	1.0	1.0	0	0	1	0	0	0	0	1	0	0	
sugar	3	1	1	0.33333334	0.33333334	2	0	1	0	0	2	0	1	0	0	
lemon	1	1	1	1.0	1.0	0	0	1	0	0	0	0	1	0	0	
pancakes	2	2	1	1.0	0.5	0	1	1	0	0	0	1	1	0	0	
@urgency	1	2	0	2.0	0.0	0	0	0	0	1	1	0	0	0	0	
bursting	1	2	0	2.0	0.0	0	0	0	0	1	1	0	0	0	0	
forth	2	2	0	1.0	0.0	1	0	0	0	1	2	0	0	0	0	
idek	2	1	0	0.5	0.0	1	0	0	0	1	2	0	0	0	0	
victoria	2	1	0	0.5	0.0	0	1	0	0	1	2	0	0	0	0	
@houstonschmaps	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
@jodycakes	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
@shadowdancerl2	1	1	0	1.0	0.0	0	0	1	0	0	1	0	0	0	0	
settled	1	1	0	1.0	0.0	0	0	1	0	0	1	0	0	0	0	
gov	2	0	-1	0.0	-0.5	2	0	0	0	0	0	2	0	0	0	
pain	7	-2	-11	-0.2857143	-1.5714285	4	1	2	0	0	1	3	3	0	0	
ie	1	0	1	0.0	1.0	1	0	0	0	0	0	1	0	0	0	
decision	4	1	1	0.25	0.25	2	1	1	0	0	1	2	1	0	0	
screencast	1	0	1	0.0	1.0	1	0	0	0	0	0	1	0	0	0	
nmixztixnmit	1	0	1	0.0	1.0	1	0	0	0	0	0	1	0	0	0	
fljew	1	0	1	0.0	1.0	1	0	0	0	0	0	1	0	0	0	
skipped	1	0	1	0.0	1.0	1	0	0	0	0	0	1	0	0	0	
ano	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
yojopochile	2	0	0	0.0	0.0	0	2	0	0	0	2	0	0	0	0	
04	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
4oucmow	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
unfollow	3	0	1	0.0	0.33333334	0	1	2	0	0	0	3	0	0	0	
irvine	1	1	-1	1.0	-1.0	0	1	0	0	0	1	0	0	0	0	
village	2	-1	-1	-0.5	-0.5	1	1	0	0	0	2	0	0	0	0	
woodbury	1	1	-1	1.0	-1.0	0	1	0	0	0	1	0	0	0	0	
prlog	1	1	-1	1.0	-1.0	0	1	0	0	0	1	0	0	0	0	
log	4	1	-2	0.25	-0.5	3	1	0	0	0	3	0	1	0	0	
rele	1	1	-1	1.0	-1.0	0	1	0	0	0	1	0	0	0	0	
bdirgr	1	1	-1	1.0	-1.0	0	1	0	0	0	1	0	0	0	0	
teennotices	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
13mcup	1	0	1	0.0	1.0	1	0	0	0	0	0	1	0	0	0	
@mattedmondson	1	-1	0	-1.0	0.0	0	0	1	0	0	1	0	0	0	0	
nandos	1	-1	0	-1.0	0.0	0	0	1	0	0	1	0	0	0	0	
spicy	1	-1	0	-1.0	0.0	0	0	1	0	0	1	0	0	0	0	
movie's	1	1	0	1.0	0.0	0	0	1	0	0	1	0	0	0	0	
shoutout	9	2	1	0.22222222	0.11111111	2	5	2	0	0	7	1	1	0	0	
hayley	2	1	0	0.5	0.0	0	0	2	0	0	2	0	0	0	0	
rachel	1	1	0	1.0	0.0	0	0	1	0	0	1	0	0	0	0	
xoxoxox	1	1	0	1.0	0.0	0	0	1	0	0	1	0	0	0	0	
affordable	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
silang	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
tagaytay	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
metro	3	-1	-1	-0.33333334	-0.33333334	2	0	1	0	0	2	0	1	0	0	
philippines	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
hin	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
@mahesautara	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
@mayanazaya	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
mahesa	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
utara	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
@wangsadibrata	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
@miss_behavin_	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
sexting	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
privates	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
public	7	-1	0	-0.14285715	0.0	5	2	0	0	0	3	4	0	0	0	
theviewmoms	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@sara_aziz	1	0	0	0.0	0.0	1	0	0	0	0	0	0	1	0	0	
mastodon	1	0	0	0.0	0.0	1	0	0	0	0	0	0	1	0	0	
jls	1	0	0	0.0	0.0	1	0	0	0	0	0	0	1	0	0	
bloody	3	-1	-1	-0.33333334	-0.33333334	2	1	0	0	0	0	1	2	0	0	
nancy	1	0	0	0.0	0.0	1	0	0	0	0	0	0	1	0	0	
compared	3	-1	1	-0.33333334	0.33333334	3	0	0	0	0	1	0	1	1	0	
carl	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
gladstone	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
messagepad	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
130	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
defying	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
gravity	2	0	-1	0.0	-0.5	2	0	0	0	0	2	0	0	0	0	
goodies	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
xrl	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
bgwauw	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@daily_pinch	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
healthcare	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
$1172	2	0	0	0.0	0.0	2	0	0	0	0	0	2	0	0	0	
@moosep	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
referred	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
er	2	0	-2	0.0	-1.0	2	0	0	0	0	1	1	0	0	0	
iv	2	0	-1	0.0	-0.5	2	0	0	0	0	1	1	0	0	0	
chilled	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
hallmark	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
animal	3	1	-2	0.33333334	-0.6666667	0	3	0	0	0	3	0	0	0	0	
braclets	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
gym	4	-1	1	-0.25	0.25	2	1	1	0	0	3	0	1	0	0	
@elinbheinesen	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
faroe	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
islands	4	0	0	0.0	0.0	3	1	0	0	0	3	1	0	0	0	
explore	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
fresher	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
country	6	1	-2	0.16666667	-0.33333334	3	2	1	0	0	6	0	0	0	0	
bjtpcn	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@addthis	6	-3	0	-0.5	0.0	5	1	0	0	0	6	0	0	0	0	
morgen	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
august	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
burns	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
buried	3	-3	-4	-1.0	-1.3333334	2	1	0	0	0	2	1	0	0	0	
und	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
cowboy	3	1	-4	0.33333334	-1.3333334	1	1	1	0	0	3	0	0	0	0	
ick	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
freu	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
mir	2	-1	-1	-0.5	-0.5	2	0	0	0	0	1	1	0	0	0	
tropfn	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
inne	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
hose	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
@sonamakapoor	1	0	1	0.0	1.0	0	0	1	0	0	0	1	0	0	0	
sonam	1	0	1	0.0	1.0	0	0	1	0	0	0	1	0	0	0	
@preachamantone	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
3vj8t	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@realfoodfest	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
ticket	2	-1	1	-0.5	0.5	2	0	0	0	0	1	1	0	0	0	
ayraxd	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
receive	2	0	0	0.0	0.0	0	2	0	0	0	2	0	0	0	0	
nabc	1	1	0	1.0	0.0	0	1	0	0	0	1	0	0	0	0	
ajz1o6	1	1	0	1.0	0.0	0	1	0	0	0	1	0	0	0	0	
@aibubble	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
@fahararafa	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
@irarra	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
@aninditalifiani	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
aku	2	-2	0	-1.0	0.0	2	0	0	0	0	2	0	0	0	0	
nggak	2	-3	-1	-1.5	-0.5	2	0	0	0	0	2	0	0	0	0	
@marshaw	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
ngapain	3	-4	0	-1.3333334	0.0	3	0	0	0	0	3	0	0	0	0	
coba	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
keenakan	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
stylize	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
movement	3	-1	-1	-0.33333334	-0.33333334	0	3	0	0	0	3	0	0	0	0	
@danecook	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
unconditional	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
unicorn	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
atop	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
creme	2	-1	-1	-0.5	-0.5	1	1	0	0	0	2	0	0	0	0	
mountain	4	-1	1	-0.25	0.25	2	1	0	1	0	3	1	0	0	0	
impossibletown	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
@doctoress	1	1	-2	1.0	-2.0	0	0	1	0	0	0	0	1	0	0	
grind	1	1	-2	1.0	-2.0	0	0	1	0	0	0	0	1	0	0	
alwys	1	1	-2	1.0	-2.0	0	0	1	0	0	0	0	1	0	0	
@bsteve76	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@deltairlines	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
delta_mobile	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@jadelenair	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
wasn't	9	-3	-2	-0.33333334	-0.22222222	6	3	0	0	0	3	6	0	0	0	
@noseygirll	1	1	0	1.0	0.0	0	0	1	0	0	1	0	0	0	0	
@dhimohutahaean	1	1	0	1.0	0.0	0	0	1	0	0	1	0	0	0	0	
@badassbitch	1	1	0	1.0	0.0	0	0	1	0	0	1	0	0	0	0	
@jamie_oliver	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
fantastic	3	-2	0	-0.6666667	0.0	0	1	2	0	0	3	0	0	0	0	
proud	9	1	-3	0.11111111	-0.33333334	1	2	5	1	0	5	2	2	0	0	
pager	1	0	1	0.0	1.0	1	0	0	0	0	0	0	1	0	0	
migraine	1	0	1	0.0	1.0	1	0	0	0	0	0	0	1	0	0	
river	3	0	1	0.0	0.33333334	2	1	0	0	0	2	1	0	0	0	
trek	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
preparation	3	-1	2	-0.33333334	0.6666667	2	1	0	0	0	0	3	0	0	0	
ecocamp	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
argentina	4	3	0	0.75	0.0	0	0	3	1	0	4	0	0	0	0	
nenas	1	1	0	1.0	0.0	0	0	1	0	0	1	0	0	0	0	
@graypowell	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
pleaserobme	2	-2	-1	-1.0	-0.5	1	1	0	0	0	2	0	0	0	0	
networking	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
airlines	1	1	-1	1.0	-1.0	0	1	0	0	0	1	0	0	0	0	
grapple	1	1	-1	1.0	-1.0	0	1	0	0	0	1	0	0	0	0	
flier	1	1	-1	1.0	-1.0	0	1	0	0	0	1	0	0	0	0	
issue	4	0	-1	0.0	-0.25	3	1	0	0	0	4	0	0	0	0	
obese	1	1	-1	1.0	-1.0	0	1	0	0	0	1	0	0	0	0	
seats	1	1	-1	1.0	-1.0	0	1	0	0	0	1	0	0	0	0	
9knrm	1	1	-1	1.0	-1.0	0	1	0	0	0	1	0	0	0	0	
cn	2	1	-1	0.5	-0.5	0	2	0	0	0	2	0	0	0	0	
@nextlevelee	1	-1	-1	-1.0	-1.0	0	0	1	0	0	0	1	0	0	0	
wus	1	-1	-1	-1.0	-1.0	0	0	1	0	0	0	1	0	0	0	
preperation	1	-1	-1	-1.0	-1.0	0	0	1	0	0	0	1	0	0	0	
roommates	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
olsen	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
twins	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
@justmikey7	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
compai	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
@nickleon_22	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
spc	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
tonite	4	-3	1	-0.75	0.25	2	2	0	0	0	3	1	0	0	0	
9oo4f	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
@tmntyler	1	0	1	0.0	1.0	1	0	0	0	0	0	1	0	0	0	
hipster	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
glasses	6	-1	1	-0.16666667	0.16666667	2	3	0	1	0	3	2	1	0	0	
@aemeliabedelia	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
prescription	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
@merocrush	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
penciled	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
calender	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
ashanti	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
ja	2	0	0	0.0	0.0	1	1	0	0	0	2	0	0	0	0	
rule	3	1	-1	0.33333334	-0.33333334	2	1	0	0	0	2	1	0	0	0	
kobe	2	1	-1	0.5	-0.5	1	1	0	0	0	1	1	0	0	0	
misses	1	0	-1	0.0	-1.0	1	0	0	0	0	0	1	0	0	0	
straight	8	0	2	0.0	0.25	6	1	1	0	0	3	4	1	0	0	
apjnwl	1	0	-1	0.0	-1.0	1	0	0	0	0	0	1	0	0	0	
mywp	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@istandalone_dai	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
crib	2	0	0	0.0	0.0	1	1	0	0	0	2	0	0	0	0	
hop	5	-2	0	-0.4	0.0	4	1	0	0	0	5	0	0	0	0	
bandwagon	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
nyusm1	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
tcrn	2	-1	0	-0.5	0.0	2	0	0	0	0	2	0	0	0	0	
ch	4	0	0	0.0	0.0	2	1	1	0	0	4	0	0	0	0	
9vvn0k	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
@missmma09	2	0	0	0.0	0.0	0	2	0	0	0	1	1	0	0	0	
photoshoot	2	0	-2	0.0	-1.0	0	1	1	0	0	2	0	0	0	0	
shoot	7	-2	-7	-0.2857143	-1.0	2	3	2	0	0	4	1	2	0	0	
@amazing_again	1	0	1	0.0	1.0	1	0	0	0	0	0	1	0	0	0	
squishable	1	0	1	0.0	1.0	1	0	0	0	0	0	1	0	0	0	
dontgetsquished	1	0	1	0.0	1.0	1	0	0	0	0	0	1	0	0	0	
10vu2d	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
gagaloo	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
proof	4	-3	2	-0.75	0.5	2	1	1	0	0	2	2	0	0	0	
rew	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
generous	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
shivsena	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
ban	2	0	1	0.0	0.5	1	1	0	0	0	1	1	0	0	0	
aussie	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
pak	2	0	1	0.0	0.5	1	1	0	0	0	1	1	0	0	0	
cricketers	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
c0yffm	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
@stephicks	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
planning	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
certification	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
programs	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
dig	5	0	1	0.0	0.2	3	1	1	0	0	3	1	1	0	0	
d31j6pn	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
digguser	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
coldmirror's	1	0	-1	0.0	-1.0	1	0	0	0	0	1	0	0	0	0	
coldmirror	1	0	-1	0.0	-1.0	1	0	0	0	0	1	0	0	0	0	
pryor	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@phyliciajade	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
tagline	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
beach	3	-2	0	-0.6666667	0.0	0	2	1	0	0	3	0	0	0	0	
@thepretension	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
spoiler	2	-1	-1	-0.5	-0.5	2	0	0	0	0	1	1	0	0	0	
ben's	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
eulogy	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
locke	2	-2	-2	-1.0	-1.0	2	0	0	0	0	2	0	0	0	0	
moments	2	0	-1	0.0	-0.5	1	1	0	0	0	2	0	0	0	0	
@bellsbrewery	1	1	0	1.0	0.0	0	1	0	0	0	1	0	0	0	0	
hearted	1	1	0	1.0	0.0	0	1	0	0	0	1	0	0	0	0	
thankyouverymuch	1	1	0	1.0	0.0	0	1	0	0	0	1	0	0	0	0	
iwillbenicerthen	1	1	0	1.0	0.0	0	1	0	0	0	1	0	0	0	0	
@darkbeautykimmy	1	-1	0	-1.0	0.0	1	0	0	0	0	0	0	1	0	0	
cheap	4	0	-3	0.0	-0.75	3	1	0	0	0	3	0	1	0	0	
any1	2	-1	-2	-0.5	-1.0	2	0	0	0	0	0	1	1	0	0	
afford	1	-1	0	-1.0	0.0	1	0	0	0	0	0	0	1	0	0	
pays	3	-2	-2	-0.6666667	-0.6666667	2	0	1	0	0	2	0	1	0	0	
gudmrng	1	-1	1	-1.0	1.0	0	1	0	0	0	0	1	0	0	0	
cloudy	1	-1	1	-1.0	1.0	0	1	0	0	0	0	1	0	0	0	
coffee	6	0	1	0.0	0.16666667	3	2	1	0	0	5	1	0	0	0	
juz	1	-1	1	-1.0	1.0	0	1	0	0	0	0	1	0	0	0	
enjoyin	1	-1	1	-1.0	1.0	0	1	0	0	0	0	1	0	0	0	
@porshawright	1	0	1	0.0	1.0	0	1	0	0	0	0	0	1	0	0	
tito	1	0	1	0.0	1.0	0	1	0	0	0	0	0	1	0	0	
ususal	1	0	1	0.0	1.0	0	1	0	0	0	0	0	1	0	0	
embrace	1	0	-1	0.0	-1.0	0	1	0	0	0	0	1	0	0	0	
lack	3	-1	-1	-0.33333334	-0.33333334	1	2	0	0	0	0	2	1	0	0	
@cyanogen	1	-1	-2	-1.0	-2.0	0	1	0	0	0	0	1	0	0	0	
roms	1	-1	-2	-1.0	-2.0	0	1	0	0	0	0	1	0	0	0	
piss	3	-1	-5	-0.33333334	-1.6666666	1	2	0	0	0	0	3	0	0	0	
@chelseymary	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
follower	4	-1	0	-0.25	0.0	1	2	1	0	0	3	1	0	0	0	
dellu	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
dellu_ny	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
dell	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
hootsuite	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
tweetdeck	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
client	2	0	0	0.0	0.0	1	1	0	0	0	2	0	0	0	0	
@how2blog	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
howtoblog	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
18inz	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
scored	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
50388	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
defending	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
cruze	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
island	5	0	-2	0.0	-0.4	0	5	0	0	0	4	1	0	0	0	
ranked	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
1235	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
cbimpj	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
@mocajavawv	1	-1	1	-1.0	1.0	0	1	0	0	0	0	1	0	0	0	
filibuster	1	-1	1	-1.0	1.0	0	1	0	0	0	0	1	0	0	0	
supermajority	1	-1	1	-1.0	1.0	0	1	0	0	0	0	1	0	0	0	
ocra	1	-1	1	-1.0	1.0	0	1	0	0	0	0	1	0	0	0	
updated	4	-1	0	-0.25	0.0	3	1	0	0	0	4	0	0	0	0	
tweakmytwitter	4	-2	0	-0.5	0.0	2	2	0	0	0	4	0	0	0	0	
customize	2	-1	0	-0.5	0.0	1	1	0	0	0	2	0	0	0	0	
@days2daze	1	-1	-1	-1.0	-1.0	0	1	0	0	0	0	1	0	0	0	
75	3	-2	-1	-0.6666667	-0.33333334	1	1	1	0	0	2	1	0	0	0	
document	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
relevant	2	-2	-2	-1.0	-1.0	2	0	0	0	0	1	1	0	0	0	
photographer	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
getasponsor	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
shouldn't	4	-1	2	-0.25	0.5	1	2	1	0	0	0	2	2	0	0	
nme	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
tk	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
playlist	4	0	1	0.0	0.25	2	1	1	0	0	2	2	0	0	0	
bus	4	0	1	0.0	0.25	2	1	0	1	0	2	2	0	0	0	
everyday	7	0	0	0.0	0.0	1	4	2	0	0	3	1	3	0	0	
currents	1	1	-1	1.0	-1.0	0	0	1	0	0	1	0	0	0	0	
@judsonb	1	0	1	0.0	1.0	0	1	0	0	0	0	0	1	0	0	
